#depth	Te	Htot	hden	eden	2H_2/H	HI	HII	HeI	HeII	HeIII	CO/C	C1	C2	C3	C4	O1	O2	O3	O4	O5	O6	H2O/O	AV(point)	AV(extend)	Tau912
3.47812e+19	4.8811e+03	3.209e-22	1.0000e+01	1.0871e+01	1.8692e-18	6.4552e-05	9.9994e-01	5.9520e-04	9.9940e-01	3.0861e-12	2.3812e-26	1.6551e-07	1.0927e-02	9.8301e-01	6.0665e-03	1.6585e-06	5.2910e-02	9.4709e-01	1.1755e-36	1.1755e-36	1.1755e-36	3.6469e-35	0.00e+00	0.00e+00	1.4843e-01
3.82593e+19	4.8586e+03	3.197e-22	1.0000e+01	1.0871e+01	1.7899e-18	6.4663e-05	9.9994e-01	5.9954e-04	9.9940e-01	1.0392e-12	2.3524e-26	1.6688e-07	1.1013e-02	9.8316e-01	5.8252e-03	1.7036e-06	5.3974e-02	9.4602e-01	1.1755e-36	1.1755e-36	1.1755e-36	3.2963e-35	0.00e+00	0.00e+00	1.6330e-01
4.20852e+19	4.8360e+03	3.183e-22	1.0000e+01	1.0871e+01	1.7860e-18	6.4798e-05	9.9994e-01	6.0448e-04	9.9940e-01	3.5018e-13	2.4056e-26	1.6845e-07	1.1110e-02	9.8332e-01	5.5709e-03	1.7544e-06	5.5170e-02	9.4483e-01	1.1755e-36	1.1755e-36	1.1755e-36	3.2549e-35	0.00e+00	0.00e+00	1.7969e-01
4.62937e+19	4.8134e+03	3.169e-22	1.0000e+01	1.0871e+01	1.7160e-18	6.4960e-05	9.9994e-01	6.1012e-04	9.9939e-01	1.2294e-13	2.4000e-26	1.7020e-07	1.1217e-02	9.8348e-01	5.3031e-03	1.8123e-06	5.6532e-02	9.4347e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.9711e-35	0.00e+00	0.00e+00	1.9777e-01
5.09231e+19	4.7912e+03	3.154e-22	1.0000e+01	1.0871e+01	1.7095e-18	6.5158e-05	9.9993e-01	6.1654e-04	9.9938e-01	4.8849e-14	2.4705e-26	1.7231e-07	1.1343e-02	9.8363e-01	5.0233e-03	1.8780e-06	5.8060e-02	9.4194e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.9337e-35	0.00e+00	0.00e+00	2.1772e-01
5.60154e+19	4.7699e+03	3.138e-22	1.0000e+01	1.0871e+01	1.6985e-18	6.5393e-05	9.9993e-01	6.2385e-04	9.9938e-01	2.4322e-14	2.5490e-26	1.7474e-07	1.1484e-02	9.8378e-01	4.7325e-03	1.9523e-06	5.9773e-02	9.4022e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.8874e-35	0.00e+00	0.00e+00	2.3974e-01
6.16169e+19	4.7483e+03	3.121e-22	1.0000e+01	1.0871e+01	1.6898e-18	6.5682e-05	9.9993e-01	6.3238e-04	9.9937e-01	1.5501e-14	2.6464e-26	1.7756e-07	1.1647e-02	9.8392e-01	4.4292e-03	2.0388e-06	6.1759e-02	9.3824e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.8539e-35	0.00e+00	0.00e+00	2.6407e-01
6.77786e+19	4.7288e+03	3.103e-22	1.0000e+01	1.0871e+01	1.6789e-18	6.6016e-05	9.9993e-01	6.4212e-04	9.9936e-01	1.1631e-14	2.7613e-26	1.8080e-07	1.1832e-02	9.8405e-01	4.1167e-03	2.1385e-06	6.4030e-02	9.3597e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.8254e-35	0.00e+00	0.00e+00	2.9098e-01
7.45565e+19	4.7117e+03	3.083e-22	1.0000e+01	1.0871e+01	1.5368e-18	6.6403e-05	9.9993e-01	6.5332e-04	9.9935e-01	9.3754e-15	2.7395e-26	1.8452e-07	1.2041e-02	9.8416e-01	3.7960e-03	2.2540e-06	6.6648e-02	9.3335e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.3599e-35	0.00e+00	0.00e+00	3.2074e-01
8.20121e+19	4.6968e+03	3.063e-22	1.0000e+01	1.0870e+01	1.5336e-18	6.6863e-05	9.9993e-01	6.6635e-04	9.9933e-01	7.7220e-15	2.9102e-26	1.8886e-07	1.2283e-02	9.8425e-01	3.4690e-03	2.3897e-06	6.9698e-02	9.3030e-01	1.1755e-36	1.1755e-36	1.1755e-36	2.3813e-35	0.00e+00	0.00e+00	3.5371e-01
